animekaId,name,score,votes,country,episodes,format,duration,duration_global,running,date_start,date_end,categories,studios,authors,name_original,url,source
8621,Les Gnoufs,10.0,4,France,52,eps,13,676,False,2003,2004,FAMILIAL & JEUNESSE|ANIMATION 3D,METHOD FILMS,SANTINI BERTRAND,Les Gnoufs,http://animeka.com/animes/detail/les-gnoufs.html,http://animeka.com/animes/~_202.html
8150,Eko Eko Azarak,10.0,2,Japon,1,oav,24,24,False,2007,2007,HORREUR,TôEI ANIMATION,KOGA SHINICHI,Eko Eko Azarak,http://animeka.com/animes/detail/eko-eko-azarak.html,http://animeka.com/animes/~_87.html
8623,A Sunny Day (2011),0.86,7,Allemagne,1,film,6,6,False,2007,2007,FAMILIAL & JEUNESSE,SWEET HOME STUDIO,ALKABETZ GIL,Ein sonniger Tag,http://animeka.com/animes/detail/a-sunny-day.html,http://animeka.com/animes/~_3.html
8229,L'Poney à Conny (2010),7.5,6,Allemagne,1,clip,5,5,False,2008,2008,CONTES & RÉCITS,AUCUN,HENTZE MARTIN|POHLE ROBERT|VETTER GABRIEL,Der Conny ihr Pony,http://animeka.com/animes/detail/der-conny-ihr-pony.html,http://animeka.com/animes/~_174.html
9989,Classroom Crisis (2015),5.0,1,Japon,,,,,,2015,2015,CYBER & MECHA|ESPACE & SCI-FICTION|AMOUR & AMITIÉ,LAY DUCE|ANIPLEX INC.,ODA HIROYUKI [KANZAKI HIRO,Classroom Crisis,http://animeka.com/animes/detail/classroom_crisis.html,http://animeka.com/animes/~_56.html
9985,Eiga Kaiketsu Zorori: Uchuu no Yuusha-tachi,0.0,1,Japon,1,film,None,,False,2015,2015,AVENTURE|COMÉDIE,AJIA-DOU [ASIA-DO,HARA YUTAKA,Eiga Kaiketsu Zorori: Uchuu no Yuusha-tachi,http://animeka.com/animes/detail/eiga-kaiketsu-zorori-uchuu-no-yuusha.html,http://animeka.com/animes/~_87.html
9980,Tamagotchi! Tama Tomo Daishuu Go,0.0,1,Japon,None,eps,25,,True,2015,2015,FANTASTIQUE & MYTHE|COMÉDIE,OLM (ORIENTAL LIGHT AND MAGIC),WIZ|BANDAI,Tamagotchi! Tama Tomo Daishuu Go,http://animeka.com/animes/detail/tamagotchi-tama-tomo-daishuu-go.html,http://animeka.com/animes/~_340.html
414,La Guerre de Sakura (2004),8.4,238,Japon,25,eps,25,625,False,2000,2000,ACTION|CYBER & MECHA|ESPACE & SCI-FICTION,TBS|MADHOUSE PRODUCTION,RED COMPANY|HIROI OUJI,Sakura taisen,http://animeka.com/animes/detail/sakura-wars.html,http://animeka.com/animes/~_177.html
415,Sakura Wars OAV - Saison 1 (2003),9.08,79,Japon,4,oav,30,120,False,1997,1997,ACTION|CYBER & MECHA|ESPACE & SCI-FICTION,BANDAI VISUAL,HIROI OUJI,Sakura Taisen - Ouka Kenran,http://animeka.com/animes/detail/sakura-wars-oav.html,http://animeka.com/animes/~_301.html
416,Sakura Wars OAV - Saison 2 (2003),9.13,54,Japon,6,oav,30,180,False,1999,1999,ACTION|CYBER & MECHA|ESPACE & SCI-FICTION,BANDAI VISUAL|ANIMATE,HIROI OUJI|SEGA CORP.,Sakura Taisen - Gouka Kenran,http://animeka.com/animes/detail/sakura-wars-oav2.html,http://animeka.com/animes/~_301.html
